Post_Link,Posted_Title,Posted_Date,Brand,Model,Grade,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage,Vehicle_Price
https://ikman.lk/en/ad/nissan-dayz-360-view-camera-2017-for-sale-colombo-25,Nissan Dayz 360 View Camera 2017,"Posted on 31 May 1:21 pm, Colombo 6, Colombo748views",Nissan,Dayz,0,360 View  Camera,2017,Used,Automatic,Hatchback,Petrol,650 cc,"109,000 km","Rs 6,450,000"
https://ikman.lk/en/ad/nissan-sunny-2001-for-sale-colombo-196,Nissan Sunny 2001,"Posted on 31 May 11:30 am, Malabe, Colombo754views",Nissan,Sunny,0,0,2001,Used,Automatic,0,Petrol,"1,500 cc","232,000 km","Rs 4,795,000"
https://ikman.lk/en/ad/nissan-almera-10l-brand-new-2025-for-sale-colombo,Nissan Almera 1.0L BRAND NEW 2025,"Posted on 31 May 10:50 am, Kohuwala, Colombo1739views",Nissan,Almera,0,1.0L BRAND NEW,2025,New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 12,990,000"
https://ikman.lk/en/ad/nissan-sunny-super-saloon-n17-2011-for-sale-gampaha,Nissan Sunny Super Saloon N17 2011,"Posted on 30 May 10:41 pm, Nittambuwa, Gampaha2044views",Nissan,Sunny,0,Super Saloon N17,2011,Used,Automatic,Saloon,Petrol,"1,300 cc","100,000 km","Rs 5,950,000"
https://ikman.lk/en/ad/nissan-bluebird-2001-for-sale-kandy-1,Nissan Bluebird 2001,"Posted on 30 May 9:13 pm, Peradeniya, Kandy1049views",Nissan,Bluebird,0,Nissan,2001,Used,Automatic,Saloon,Petrol,"1,700 cc","199,000 km","Rs 4,570,000"
https://ikman.lk/en/ad/nissan-march-k11-automatc-gf-2001-1997-for-sale-colombo,Nissan March K11 AUTOMATC GF-2001 1997,"Posted on 30 May 8:05 pm, Homagama, Colombo1914views",Nissan,March,0,K11 AUTOMATC GF-2001,1997,Used,Automatic,Hatchback,Petrol,"1,000 cc","170,000 km","Rs 3,075,000"
https://ikman.lk/en/ad/nissan-sunny-n17-2008-for-sale-gampaha,Nissan Sunny N17 2008,"Posted on 01 Jun 10:17 am, Kadawatha, Gampaha1489views",Nissan,Sunny,0,N17,2008,Used,Automatic,Saloon,Petrol,"1,300 cc","190,000 km","Rs 5,275,000"
https://ikman.lk/en/ad/nissan-almera-2025-premium-for-sale-colombo,Nissan Almera 2025 Premium,"Posted on 30 May 1:02 pm, Maharagama, Colombo906views",Nissan,Almera,0,2025 Almera Premium,2025,Reconditioned,Automatic,Saloon,Petrol,"1,000 cc",27 km,"Rs 13,990,000"
https://ikman.lk/en/ad/nissan-sunny-fb15-2005-for-sale-kandy-1,Nissan Sunny FB15 2005,"Posted on 30 May 12:45 pm, Kandy City, Kandy2075views",Nissan,Sunny,0,FB15,2005,Used,Automatic,Saloon,Petrol,"1,450 cc","152,000 km","Rs 4,375,000"
https://ikman.lk/en/ad/nissan-almera-el-package-2025-for-sale-colombo,Nissan Almera EL Package 2025,"Posted on 31 May 6:32 am, Kohuwala, Colombo1526views",Nissan,Almera,0,EL Package,2025,New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 13,600,000"
https://ikman.lk/en/ad/nissan-sylphy-2013-for-sale-colombo-5,Nissan Sylphy 2013,"Posted on 29 May 10:48 pm, Nugegoda, Colombo766views",Nissan,Sylphy,0,Nissan,2013,Used,Automatic,Saloon,Petrol,"1,600 cc","147,000 km","Rs 9,300,000"
https://ikman.lk/en/ad/nissan-almera-full-option-2025-for-sale-colombo,Nissan Almera Full option 2025,"Posted on 29 May 3:59 pm, Dehiwala, Colombo1558views",Nissan,Almera,0,Full option,2025,New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 14,350,000"
https://ikman.lk/en/ad/nissan-march-k13-2011-for-sale-colombo-5,Nissan March K13 2011,"Posted on 29 May 12:54 pm, Colombo 3, Colombo1943views",Nissan,March,0,K13 2011,2011,Used,Automatic,Hatchback,Petrol,"1,200 cc","90,000 km","Rs 5,500,000"
https://ikman.lk/en/ad/nissan-qashqai-2019-for-sale-colombo-17,Nissan Qashqai 2019,"Posted on 29 May 11:17 pm, Kotte, Colombo486views",Nissan,Qashqai,0,0,2019,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc","70,000 km","Rs 14,500,000"
https://ikman.lk/en/ad/nissan-almera-2024-premium-for-sale-colombo,Nissan Almera 2024 Premium,"Posted on 29 May 9:13 am, Colombo 4, Colombo689views",Nissan,Almera,0,2024 Almera Premium,2024,New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 14,700,000"
https://ikman.lk/en/ad/nissan-bluebird-n17-super-saloon-2010-for-sale-kurunegala,Nissan Bluebird N17 SUPER SALOON 2010,"Posted on 29 May 6:07 am, Kurunegala City, Kurunegala1303views",Nissan,Bluebird,0,N17 SUPER SALOON ,2010,Used,Automatic,Saloon,Petrol,"1,580 cc","143,000 km","Rs 6,375,000"
https://ikman.lk/en/ad/nissan-x-trail-2015-for-sale-kalutara-6,Nissan X-Trail 2015,"Posted on 29 May 10:36 am, Panadura, Kalutara1096views",Nissan,X-Trail,0,2015,2015,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","114,000 km","Rs 12,000,000"
https://ikman.lk/en/ad/nissan-sylphy-n17-super-saloon-2010-for-sale-kurunegala,Nissan Sylphy N17 SUPER SALOON 2010,"Posted on 28 May 5:35 pm, Kurunegala City, Kurunegala1169views",Nissan,Sylphy,0,N17 SUPER SALOON ,2010,Used,Automatic,Saloon,Petrol,"1,580 cc","147,000 km","Rs 6,375,000"
https://ikman.lk/en/ad/nissan-tiida-latio-2008-for-sale-colombo-161,Nissan Tiida Latio 2008,"Posted on 03 Jun 4:12 pm, Kotte, Colombo539views",Nissan,Tiida,0,Tiida Latio,2008,Used,Automatic,Saloon,Petrol,"1,500 cc","214,000 km","Rs 6,230,000"
https://ikman.lk/en/ad/nissan-almera-vl-black-top-2024-for-sale-colombo,Nissan Almera VL Black Top 2024,"Posted on 27 May 12:15 pm, Kohuwala, Colombo1566views",Nissan,Almera,0,VL Black Top,2024,New,Automatic,Saloon,Petrol,"1,000 cc",0 km,"Rs 13,900,000"
https://ikman.lk/en/ad/nissan-qashqai-tekna-safety-edition-2017-for-sale-kandy-2,Nissan Qashqai Tekna Safety Edition 2017,"Posted on 27 May 12:13 pm, Katugastota, Kandy1375views",Nissan,Qashqai,0,Tekna Safety Edition,2017,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc","63,000 km","Rs 16,300,000"
https://ikman.lk/en/ad/nissan-almera-vl-2-tone-2025-for-sale-colombo,Nissan Almera VL 2 Tone 2025,"Posted on 28 May 1:04 am, Rajagiriya, Colombo3176views",Nissan,Almera,0,VL 2 Tone,2025,Used,Automatic,Saloon,Petrol,"1,000 cc",10 km,"Rs 12,900,000"
https://ikman.lk/en/ad/nissan-sunny-1997-for-sale-colombo-87,Nissan Sunny 1997,"Posted on 25 May 1:29 pm, Kottawa, Colombo1373views",Nissan,Sunny,0,Nissan,1997,Used,Automatic,Saloon,Petrol,"1,500 cc","94,000 km","Rs 3,890,000"
https://ikman.lk/en/ad/nissan-x-trail-non-hybrid-embassy-2019-for-sale-colombo-5,Nissan X-Trail (Non Hybrid) Embassy 2019,"Posted on 24 May 12:09 pm, Colombo 4, Colombo1774views",Nissan,X-Trail,0,(Non Hybrid) Embassy,2019,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc","30,000 km","Rs 19,000,000"
