,model,map_model_name
177,BBAB13-SUNNY,SUNNY
178,LE-U71T FREEZER TRUC,CLIPPER
179,KB-SS28VN,VANETTE
180,TRAD SUNNY,SUNNY
181,KR-SKF2VN,VANETTE
182,PRESEA,PRESEA
183,URVAN E26,CARAVAN
184,GA15 SUNNY,SUNNY
185,KD-KRGE24,CARAVAN
186,S-VSB11 (WAGON),AD WAGON
187,ZAA -ZEO-LEAF,LEAF
188,TC-SK82MN,VANETTE
189,HBD-DR64V,CLIPPER
190,CBF-VRE25,CARAVAN
191,ZAA-AZE0 LEAF,LEAF
192,DX-VY10,AD WAGON
193,LEAF ELECTRIC,LEAF
194,U71V,CLIPPER
195,FB12-SUNNY,SUNNY
196,LDF-CWGE25-DX,CARAVAN
197,NV350 CARAVAN LDF-VW2E26,CARAVAN
198,B14 SUNNY,SUNNY
199,B13 SUNNY,SUNNY
200,E-FB12-SUNNY,SUNNY
201,LDF VWE25-CARAVAN DX,CARAVAN
202,LDF-VW6E26,CARAVAN
203,LDF-VW2E26,CARAVAN
204,EBD-U71V,CLIPPER
205,U-VRMGE 24,CARAVAN
206,LDF-VWE25,CARAVAN
207,LEAF ACCENTA,LEAF
208,VANETTE HALF BODY,VANETTE
209,DAA-HT32 X-TRAIL,X-TRAIL
210,VJGE 24 URVAN,CARAVAN
211,CBF-VR2E26 CARAVAN,CARAVAN
212,EBD-DR64V,CLIPPER
213,BLUE BIRD TA-FG10,BLUEBIRD
214,CBA-FG10,BLUEBIRD
215,U71T,CLIPPER
216,GBD-U71T,CLIPPER
217,CARAVAN NV 350,CARAVAN
218,LEAF X,LEAF
219,KG-SK22VN,VANETTE
220,ZZA-AZE0,LEAF
221,BCA3-SUNNY,SUNNY
222,DAA-HNT32,X-TRAIL
223,TEANA 250XL,TEANA
224,DBA-B21W DAYZ HIGHWAY STAR,DAYZ
225,TA-NT30 JEEP,X-TRAIL
226,GBD-U72V,CLIPPER
227,LEAF G,LEAF
228,GBD-U71T CLIPPER (FREEZER),CLIPPER
229,TA-FG10,BLUEBIRD
230,GE-CQGE25,CARAVAN
231,NAVARA AVENTURA,NAVARA
232,E-HB12 LAWREL,SUNNY
233,N-VYE24,CARAVAN
234,UA-J31,TEANA
235,VYGE23,CARAVAN
236,KG-VWE25,CARAVAN
237,TA-TP12,PRIMERA
238,N-VUGJC22,VANETTE
239,N-VYGE24,CARAVAN
240,DAA-HFC26,SERENA
241,HBD-DR17V,CLIPPER
242,CALIFORNIA,SUNNY
243,DR17V CLIPPER,CLIPPER
244,UA-TP12,PRIMERA
245,LFMD22 DOUBLE CAB,DOUBLE CAB
246,NV100 CLIPPER,NV100
247,HB12,SUNNY
248,HRB-DR17V,CLIPPER
249,DBA-NT32,X-TRAIL
250,GBD - U71T CLIPPER,CLIPPER
251,GBD-U71V NV100 CLIPPER,NV100
252,GF-B15,SUNNY
253,E-WHB12CALIFONI,SUNNY
254,SUNNY SUPER SALOON,SUNNY
255,Y KRMGE2,CARAVAN
256,SUNNY B11,SUNNY
257,DBF-VM20-NV200,VANETTE
258,TA-WFY11,WINGROAD
259,LDF-VW25E26,CARAVAN
260,NV 200 VANETTE,VANETTE
261,E-WFB12,SUNNY
262,CLIPPER,CLIPPER
263,X-TRAIL TA-NT30,X-TRAIL
264,EBD-DR16T,CLIPPER
265,BHN13 SUNNY,SUNNY
266,MARCH (GH-K11),MARCH
267,SUNNY VB11,SUNNY
268,DBA-SC11 TIIDA,TIIDA
269,TA-T30,X-TRAIL
270,AD CJ-VY11,AD WAGON
271,LDF-DW4E26 NV350-CARVAN,CARAVAN
272,MARCH K10,MARCH
273,SHILPHY,SYLPHY
274,SUNNY VIP M,SUNNY
275,VANETTE H/BODY TRUCK,VANETTE
276,VAN,SERENA
277,SUNNY 1.6A,SUNNY
278,TB-VY11,AD WAGON
279,VUJC23-SERENA,SERENA
280,NAVARA D/C,NAVARA
281,VR024,CARAVAN
282,DBF-VM20,VANETTE
283,ABA-DR17W,CLIPPER
284,PATROL,PATROL
285,VHB11,AD WAGON
286,HBD DR17V CLIPPER,CLIPPER
287,HB 12FU-SUNNY,SUNNY
288,ADF-VWE25,CARAVAN
289,FB13-CLOSED,SUNNY
290,QASHQAI,QASHQAI
291,SB 13 SUNNY,SUNNY
292,GB-VTE24,CARAVAN
293,KC-CRGE24,CARAVAN
294,PULSER FN13,PULSAR
295,DBA-B21W,DAYZ
296,DBA-B21A,DAYZ
297,SUNNY-B12,SUNNY
298,SUNNY B14,SUNNY
299,VFY11-WAGON,WINGROAD
300,HDB-DR64V CLIPPER,CLIPPER
301,UN13-PULSAR,PULSAR
302,SUNNY GL,SUNNY
303,HBD-DR64V CLIPPER NV100,NV100
304,ZAA-AZEO,LEAF
305,CLIPPER RIO WAGON,CLIPPER
306,ABA-DR64W CLIPPER,CLIPPER
307,MARCH UA-AK12,MARCH
308,LEAF TEKNA,LEAF
309,NAVARA D/C AVENTURA,NAVARA
310,KG-SK22MN,VANETTE
311,SUNNY-QF-FB15,SUNNY
312,SUNNY HB12,SUNNY
313,KR-VWE25 CARAVAN,CARAVAN
314,E-R11,PRESEA
315,E-WHNB12 SUNNY,SUNNY
316,ZAA-ZEO,LEAF
317,EBD-DR17V/CLIPPER,CLIPPER
318,VANETTE LARGO,VANETTE
319,UA-FB15 SUNNY,SUNNY
320,UB-VFY11,AD WAGON
321,LEAF,LEAF
322,VANETTE MAINTANANCE,VANETTE
323,KG-CWGE25 CARAVAN,CARAVAN
324,DAYS,DAYZ
325,GBD-U71V CLIPPER,CLIPPER
326,CB12-SUNNY,SUNNY
327,QASHQAI TEKNA DIG-T CVT,QASHQAI
328,ABF-SK82VN,VANETTE
329,KR-SKF2MN,VANETTE
330,EBD-DR17V,CLIPPER
331,SUNNY WSBIHUG,SUNNY
332,PULSAR-HN 12,PULSAR
333,CEFIRO AUTO,CEFIRO
334,QASHQAI TEKNA,QASHQAI
335,VENETTE,VANETTE
336,TA-K11,MARCH
337,DAYZ,DAYZ
338,HBD-DR64V CLIPPER,CLIPPER
339,LDF-CW4E26 CARAVAN,CARAVAN
340,DBA-B21W DAYZ,DAYZ
341,EBD-DR16T NT100 CLIPPER DX,CLIPPER
342,HA31 CEFIRO,CEFIRO
343,HBD-DR17V CLIPPER NV100,NV100
344,VYGE24-CLOSED,CARAVAN
345,KG-VWE25 CARAVAN,CARAVAN
346,TA-NT30,X-TRAIL
347,FN14-PULSER,PULSAR
348,LDF-VW2E26 CARAVAN,CARAVAN
349,TC-SK82VN,VANETTE
350,KG-CWGE25,CARAVAN
351,YU12 BLUEBIRD,BLUEBIRD
352,VANETTE-KJ-SK22VN,VANETTE
353,PRIMERA CAMINO,PRIMERA
354,UA-QP12,PRIMERA
355,E-FB13,SUNNY
356,S-VVJC23,SERENA
357,HBD-DR17V CLIPPER,CLIPPER
358,DBA-B21A DAYS ROOX,DAYZ
359,KRSKF2VN VANETTE,VANETTE
360,PULSER-N14,PULSAR
361,ADF-SKF2MN-VANETTE,VANETTE
362,ABF-SK82VN VANETTE,VANETTE
363,ADF-SKF2VN-VANETTE,VANETTE
364,CEFIRO 230SM,CEFIRO
365,PREMERA,PRIMERA
366,LDF-VW6E26 CARAVAN,CARAVAN
367,TA-TP12-PRIMERA,PRIMERA
368,LC-VPE25 CARAVAN,CARAVAN
369,KG-VWMG24,CARAVAN
370,VUJC22 VANETTE,VANETTE
371,EU13,BLUEBIRD
372,X-SB13 SUNNY,SUNNY
373,TA-QGE25R,CARAVAN
374,BCAU13-BLUEBRID,BLUEBIRD
375,SUNNY-HB11,SUNNY
376,CARAVAN KG-VWE24,CARAVAN
377,NAVARA PICKUP,NAVARA
378,VNETTE GC-SK82VN,VANETTE
379,SYLPHY,SYLPHY
380,EBD-DR17V CLIPPER,CLIPPER
381,HBD-DR17V CILIPPER,CLIPPER
382,DAA HNT32 X-TRAIL,X-TRAIL
383,KR-SKF2TN,VANETTE
384,BDAU13 BLUEBRID,BLUEBIRD
385,KG-VWMGE24,CARAVAN
386,E-B13-CLOSED,SUNNY
387,KG-GWGE25 CARAVAN,CARAVAN
388,UU12-BLUEBIRD,BLUEBIRD
389,DBA-QG10,BLUEBIRD
390,KG-VWE24,CARAVAN
391,MARCH K12,MARCH
392,LDF-VW2E26 NV350,CARAVAN
393,GBD-U71T CLIPPER,CLIPPER
394,DBA-NT31,X-TRAIL
395,ADF-VW25,CARAVAN
396,CARAVAN KG-CWGE24,CARAVAN
397,PULSER FNN14,PULSAR
398,NAVARA D/C OUTLAW,NAVARA
399,PETROL SAFARI,PATROL
400,WINGROAD UA-WFY11,WINGROAD
401,GBD-U72V CLIPPER,CLIPPER
402,GF-FNB15,SUNNY
403,VWGE24,CARAVAN
404,VUGJC22,VANETTE
405,Q-SB13,SUNNY
406,X-TRAIL 2.5A,X-TRAIL
407,AD WAGON DIESEL - MANNUAL,AD WAGON
408,ZAA- AZEO- LEAF,LEAF
409,AD WAGON PETROL - AUTO,AD WAGON
410,AD WAGON PETROL - MANNUAL,AD WAGON
411,FB14 PETROL-MANNUAL,SUNNY
412,AD WAGON DIESEL - AUTO,AD WAGON
413,FB15 EX SALOON-MANNUAL,FB 15
414,FB15 SUPER SALOON-MANNUAL,FB 15
415,LDF-CWGE25 CARAVAN,CARAVAN
416,MARCH BOLERO,MARCH
417,TC.SK82TN/V ANETTE,VANETTE
418,FB15 EX SALOON-AUTO,FB 15
419,SUNNY VY10,SUNNY
420,E.FB14 SUNNY,SUNNY
421,X-TRAIL JEEP TA-NT30,X-TRAIL
422,PULSAR FN15,PULSAR
423,VWE25-132914,CARAVAN
424,CQGE25 CARAVAN,CARAVAN
425,E-B12,SUNNY
426,LEAF ZEO,LEAF
427,GF-WEY11,WINGROAD
428,GC.SK82VN.VANETTE,VANETTE
429,FB15 SUPER SALOON-AUTO,FB 15
430,B15 EX SALOON-AUTO,SUNNY
431,B15 SUPER SALOON-AUTO,SUNNY
432,SLPHY UA-QG 10,SYLPHY
433,X TRAIL NT31,X-TRAIL
434,HBD-DR17V-2WD,CLIPPER
435,SUNNY UA-FB 15,FB 15
436,CARAVAN CRGE24 HIGHROOF,CARAVAN
437,E-FB13,SUNNY
438,KQ SKF2VN VANETTE,VANETTE
439,GF-K11,MARCH
440,VANETTE MAINTANWORK,VANETTE
441,FB 15,FB 15
442,VANETTE NV200 DBF-VM20,VANETTE
443,NAVARA OUTLAW,NAVARA
444,TA-B15,SUNNY
445,ABF-SKP2TN,VANETTE
446,NAVARA 4WD,NAVARA
447,NAVARA DCISE,NAVARA
448,WFY10-SUNNY,SUNNY
449,ADF-SKF2VNA2W,VANETTE
450,GE-CPGE24,CARAVAN
451,SUNNY UA-FB15,SUNNY
452,BLUEBIRD SYLPHY QG10,BLUEBIRD
453,GE-VPE25,CARAVAN
454,NAVARA OUTLA WD/CDCI,NAVARA
455,VANETTE UGJC22,VANETTE
456,CARAVAN GE-VPGE24,CARAVAN
457,DAA-HFC26-SERENA,SERENA
458,VANETTE STEEL,VANETTE
459,SUNNY METAL,SUNNY
460,BDA-B21W DAYS,DAYZ
461,ABF SKP2TN-VANETTE,VANETTE
462,E-K10-MARCH,MARCH
463,LDF-VWE25 CARVAN,CARAVAN
464,CBA-NT30,X-TRAIL
465,GF-PR11,PRESEA
466,SUNNY GF-B15,SUNNY
467,SUNNY GF-FB15,SUNNY
468,UN 13,BLUEBIRD
469,AD WEGON,AD WAGON
470,4WD (DOUBLE CAB),DOUBLE CAB
471,ABA-DR17W RIO,CLIPPER
472,DBA-B21A DAYZ,DAYZ
473,GE-SK82MN,VANETTE
474,VANETTE KR-SKF2V,VANETTE
475,VJGE24,CARAVAN
476,KG-VWME25,CARAVAN
477,KC-VRE24,CARAVAN
478,CARAVAN VTGE24,CARAVAN
479,KR-CWGE25,CARAVAN
480,EBD-DR64V CLIPPER,CLIPPER
