,model,map_model_name
179,LA-HA23S,ALTO
180,DAA MK42S SPACIA- G LIMITED,SPACIA
181,DAA-ZC53S SWIFT RS HYBRID,SWIFT
182,HBD-HA36V ALTO VP,ALTO
183,HBD-EVERY JOIN,EVERY
184,WAGON R PREMIUM HYBRID,WAGON R
185,DBA-ZC13S SWIFT RS,SWIFT
186,CBA-WB42S (BALENO),BELENO
187,ALTO ECO,ALTO
188,ABA-DA17W,EVERY
189,ABA-HE21S,ALTO
190,DBA-ZC13S,SWIFT
191,DBA-ZC53S SWIFT,SWIFT
192,ABA-JB23W,JIMNY
193,HA36S,ALTO
194,LIANA 1.3MT,LIANA
195,STINGRAY X,WAGON R
196,DAA-MK42S SPACIA X,SPACIA
197,MH55S,WAGON R
198,SWIFT HYBRID,SWIFT
199,DAA-ZC53C,SWIFT
200,DBA-ZC72S,SWIFT
201,EVERY (GD-DB52V),EVERY
202,ALTO,ALTO
203,WAGON R FX,WAGON R FX
204,ABA-DA17W (EVERY WAGON),EVERY
205,DBA-MH34S,WAGON R
206,SPACIA DAA-MK53S,SPACIA
207,DBA-MH35S,WAGON R
208,DAA-MR41S,WAGON R
209,MH44S,WAGON R
210,STINGRAY,WAGON R
211,DBA-HA36S-ALTO,ALTO
212,DA17V,EVERY
213,SPACIA CUSTOM Z,SPACIA
214,SUZUKI FZ,WAGON R FZ
215,CBA-WB42S,BELENO
216,SPACIA COSTOM Z DAA-MK42S,SPACIA
217,SPACIA,SPACIA
218,WAGON R PREMIUM,WAGON R
219,EVERY DA 17V,EVERY
220,DAA-MA36S SOLIO,WAGON R
221,WAGAN,WAGON R
222,DBA-H36S,ALTO
223,MK42S,SPACIA
224,DAA-MH55S WAGON R STINGRAY,WAGON R STINGRAY
225,WAGON R 650CC,WAGON R
226,WAGON R STINGRAY X,WAGON R STINGRAY
227,WAGON R FZ SAFETY,WAGON R FZ SAFETY
228,DAA-MH55S WAGON R FZ SAFETY PACKAGE,WAGON R FZ SAFETY
229,HBD-DA17V EVERY,EVERY
230,DAA-MH55S WAGON R FZ,WAGON R FZ
231,DAA-MH55S WAGON R FX,WAGON R FX
232,DAA-MK53S,SPACIA
233,HUSTLER HYBRID,HUSTLER
234,CELERIO X ZXI AMT (O),CELERIO
235,WAGON R HYBRID FZ,WAGON R FZ
236,DBA-ZC13S SWIFT,SWIFT
237,SPACIA XS TURBO,SPACIA
238,WAGON R-VXI,WAGON R
239,WAGON R HYBRID DAA-MH55S,WAGON R
240,WAGON R FZ MH55S,WAGON R FZ
241,HBD-HA36V ALTO,ALTO
242,DAA-MH55S STINGRAY,WAGON R
243,DAA-MK55S WAGON R,WAGON R
244,WAGON R STINGRAY HYBRID X,WAGON R STINGRAY
245,SWIFT ZC13S RS TURBO,SWIFT
246,DAA-MH55S WAGON R HYBRID FX,WAGON R FX
247,CELRIO X ZXI (O) AGS,CELERIO
248,DBA-HE22S,ALTO
249,EVERY WAGON,EVERY
250,WAGON R FX SAFETY,WAGON R FX SAFETY
251,ABA-HA23S ALTO,ALTO
252,HUSTLER J-STYLE (DAA-MR41S),HUSTLER
253,ALTO LXI 800,ALTO LXI
254,HBD-HA36V,ALTO
255,HBD-DA17V EVERY PC GRADE,EVERY
256,ALTO 800 VXI,ALTO
