,model,map_model_name
186,DAA-ZE3 INSIGHT,INSIGHT
187,DAA-GPS FREED,FREED
188,CR-V VTEC TURBO,CRV
189,CIVIC ED352KP,CIVIC
190,CIVIC 1.6,CIVIC
191,DAA-GP2 FIT HYBRID,FIT
192,E-EG8 CIVIC,CIVIC
193,DBA-RM4,CRV
194,FIT ARIA/LA-GD8,FIT ARIA
195,DBA-JF1 N-BOX SLASH,N BOX
196,DBA-GD8 FIT ARIA,FIT ARIA
197,INSIGHT ES-T CVT,INSIGHT
198,DAA-RU3 VEZEL RS HYBRID,VEZEL
199,CIVIC VTEC EX 1.0,CIVIC
200,DAA-GB7,FREED
201,CIVIC GF-EK9,CIVIC
202,GRACE-DA-GM4,GRACE
203,FIT ARIA,FIT ARIA
204,CIVIC EXI 4A,CIVIC
205,ZE2,INSIGHT
206,DAA-RU VEZEL,VEZEL
207,DAA-GP4 FIT,FIT
208,DAA-GP3 HYBRID FREED,FREED
209,CITY 1.5L CVT,CITY
210,DBA-RW2 CRV,CRV
211,CR-V RVS1-2,CRV
212,GBD- HA6,ACTY
213,DAA-FD3 CIVIC,CIVIC
214,CR-V(DBA-RW2),CRV
215,CIVIC SR VTEC,CIVIC
216,DAA-GP1 FIT HYBRID,FIT
217,FIT DAA-GP4,FIT
218,CR-V VTE,CRV
219,DBA-RW2 CRV EX-MASTERPIECE,CRV
220,EBD-HH5,ACTY
221,CIVIC ES,CIVIC
222,DBA-GJ1 AIRWAVE,AIRWAVE
223,DBA-JH1 N WGN CUSTOM,N WGN
224,GP-RD1,FIT
225,DX,CIVIC
226,FIT-LAGD1,FIT
227,DBA-FK7 CIVIC,CIVIC
228,DBA-RW1,CRV
229,CIVIC AUTO,CIVIC
230,DBA-RW1 CR-V,CRV
231,INSIGHT ES CVT,INSIGHT
232,DBA-RM1,CRV
233,HC CITY,CITY
234,CITY 4A,CITY
235,CRV-VTL3,CRV
236,CIVIC LA-ES1,CIVIC
237,DBA-JH2 N WGN,N WGN
238,N WGN,N WGN
239,DBA-JH1 N WAGON,N WGN
240,CIVIC EX CUT,CIVIC
241,DAA-GP5 FIT,FIT
242,LA-ES1,CIVIC
243,EBD-HA8,ACTY
244,DBA-GD6 FIT,FIT
245,DBA-JW5 S660,S660
246,CIVIC EX 1.0 VTEC,CIVIC
247,VEZEL (DAA-RU3)-HYBRID,VEZEL
248,CR-V VTI-LX,CRV
249,DAA-RUS,VEZEL
250,CR V VTEC,CRV
251,CIVIC EH 957-KQ,CIVIC
252,DBA-RE4,CRV
253,CITY 1.5L A,CITY
254,CRV A SPORTS,CRV
255,CRV 2.0A,CRV
256,CTV-VTI-L,CRV
257,DAA -GP5 -FIT HYBRID,FIT
258,HRV WAGON,HRV
259,DBA-FD1,CIVIC
260,GF-GH3 JEEP,HRV
261,CRV2.0A,CRV
262,6AA-ZE4 EX INSIGHT,INSIGHT
263,CIVIC VTEC CVT,CIVIC
264,CIVIC-SEDAN,CIVIC
265,CIVIC EK3-AUTO,CIVIC
266,CIVIC EK3-MANNUAL,CIVIC
267,CIVIC EX VTEC,CIVIC
268,CIVIC ES1-AUTO,CIVIC
269,CIVIC ES8-AUTO,CIVIC
270,GRACE-DAA-GM4,GRACE
271,CITY VTEC,CITY
272,CITY VTEC M,CITY
273,DA-RU3-VEZEL,VEZEL
274,CIVIC ES8-MANNUAL,CIVIC
275,CITY G41,CITY
276,CIVIC FB1,CIVIC
277,CIVIC V11 4A,CIVIC
278,CITYVTEC A,CITY
279,GAA-GP7-SHUTTLE,SHUTTLE
280,CR.V RVSI-2,CRV
281,CRV-VTI-S,CRV
282,DAA-RU3 VEZEL HYBRID,VEZEL
283,CIVIC FD1-AUTO,CIVIC
284,CIVIC FD1-MANNUAL,CIVIC
285,CIVIC FD3-JAPAN,CIVIC
286,CIVIC FD4-AUTO,CIVIC
287,CIVIC FD4-MANNUAL,CIVIC
288,CIVIC SE-HATCHBACK,CIVIC
289,CIVIC EG8,CIVIC
290,CIVIC ES1-MANNUAL,CIVIC
291,CIVIC FD3-UK,CIVIC
292,CIVIC SR-HATCHBACK,CIVIC
293,CIVIC EG8,CIVIC
294,CIVIC EX-HATCHBACK,CIVIC
295,CRV-WAGON,CRV
296,DAA-RU4 VEZEL,VEZEL
297,CIVIC RS,CIVIC
298,ACCORD CL7,ACCORD
299,CIVIC  EX,CIVIC
300,VEZEL RU3 ORANGE PACKAGE,VEZEL
301,DBA-JH1 N WGN CUSTON,N WGN
302,DAA-GP7 FIT SHUTTLE,SHUTTLE
303,DBA-RW1 CR-V EX,CRV
