brand,model,Trim / Edition,year,Transmission,Body type,fuel_type,Engine capacity,Mileage,vehicle_price
HONDA,CITY,RS SEDAN 1.0,2025,AUTOMATIC,SALOON,PETROL,1000,0,16000000
HONDA,VEZEL,Z GRADE,2025,AUTOMATIC,SUV / 4X4,PETROL,1500,5,16590000
HONDA,FIT SHUTTLE,FIT SHUTTLE,2012,AUTOMATIC,STATION WAGON,PETROL,1330,149640,8875000
HONDA,CRV,VTIL-7 AUSTRALIAN,2024,AUTOMATIC,STATION WAGON,PETROL,1500,16,29990000
HONDA,CIVIC,EK3,1996,AUTOMATIC,HATCHBACK,PETROL,1500,177000,3495000
HONDA,CRV,VTIL-7 AUSTRALIAN,2024,AUTOMATIC,STATION WAGON,PETROL,1500,23,29990000
HONDA,CRV,FULLY LOADED,2012,AUTOMATIC,SUV / 4X4,PETROL,2350,170000,11975000
HONDA,CRV,0,2018,AUTOMATIC,0,PETROL,1500,83000,22250000
HONDA,CRV,5 SEATER,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,75000,21450000
HONDA,CRV,RE4,2010,AUTOMATIC,SUV / 4X4,PETROL,2350,91000,11050000
HONDA,CIVIC,EX SUNROOF,2018,AUTOMATIC,HATCHBACK,PETROL,1000,59000,12900000
HONDA,VEZEL,"HYBRID X, DAA-RU3",2014,AUTOMATIC,SUV / 4X4,PETROL,1490,126000,10000000
HONDA,CRV,LIMITED EDITION,2000,AUTOMATIC,SUV / 4X4,PETROL,1950,210000,4790000
HONDA,S660,CONVERTIBLE ,2015,AUTOMATIC,CONVERTIBLE,PETROL,650,36200,6890000
HONDA,N-BOX,2024,2024,AUTOMATIC,HATCHBACK,PETROL,660,10,8500000
HONDA,N-BOX,CUSTOM TURBO,2015,AUTOMATIC,HATCHBACK,PETROL,650,76000,6250000
HONDA,VEZEL,0,2015,AUTOMATIC,STATION WAGON,PETROL,1490,130000,10500000
HONDA,FIT,0,2014,AUTOMATIC,HATCHBACK,PETROL,1490,82000,8890000
HONDA,CRV,HONDA,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,0,27000000
HONDA,CIVIC,SR,2018,AUTOMATIC,HATCHBACK,PETROL,1000,78000,13950000
HONDA,VEZEL,Z GRADE ORANGE,2014,AUTOMATIC,HATCHBACK,PETROL,1500,110000,10595000
HONDA,CRV,MASTERPICES JAPAN ,2018,AUTOMATIC,SUV / 4X4,PETROL,1490,96000,25550000
HONDA,CRV,2.0L,2013,AUTOMATIC,SUV / 4X4,PETROL,2000,145000,12590000
HONDA,CRV,EX MASTERPIECE JAPAN,2019,AUTOMATIC,SUV / 4X4,PETROL,1500,47000,25000000
HONDA,CRV,7 SEATER,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,72000,20500000
HONDA,CRV,VTI-L 2WD,2019,AUTOMATIC,SUV / 4X4,PETROL,1500,20000,26500000
HONDA,GRACE,0,2014,AUTOMATIC,SALOON,PETROL,1500,170000,11000000
HONDA,CIVIC,TECHPACK SEDAN,2019,AUTOMATIC,SALOON,PETROL,1000,48000,14700000
HONDA,CITY,RS,2025,AUTOMATIC,SALOON,PETROL,1000,0,14995000
HONDA,FIT,GP 5,2014,AUTOMATIC,HATCHBACK,PETROL,1500,132000,7650000
HONDA,GRACE,EX,2016,AUTOMATIC,SALOON,PETROL,1500,101000,10500000
HONDA,VEZEL,Z PLAY,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,1000,20800000
HONDA,FIT,GP 4,2013,AUTOMATIC,HATCHBACK,PETROL,1500,108000,7500000
HONDA,VEZEL,RS SENSING LED,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,82000,14850000
HONDA,CRV,0,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,103000,21000000
HONDA,S660,( 2017 - 2018 ),2017,AUTOMATIC,HATCHBACK,PETROL,650,30000,7490000
HONDA,GRACE,EX,2015,AUTOMATIC,SALOON,PETROL,1500,140000,9875000
HONDA,FIT,GP1,2011,AUTOMATIC,HATCHBACK,PETROL,1300,153000,6650000
HONDA,CIVIC,EX TECH,2018,AUTOMATIC,0,PETROL,1000,107000,12900000
HONDA,CRV,V TEC TURBO,2024,AUTOMATIC,STATION WAGON,PETROL,1500,0,30990000
HONDA,CRV,V TEC TURBO,2024,AUTOMATIC,STATION WAGON,PETROL,1500,0,30960000
HONDA,GRACE,EX,2016,AUTOMATIC,SALOON,PETROL,1500,98636,11500000
HONDA,CRV,FULL OPTION,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,44000,22800000
HONDA,GRACE,2015,2015,AUTOMATIC,SALOON,PETROL,1500,128000,9999000
HONDA,VEZEL,Z ORANGE,2014,AUTOMATIC,SUV / 4X4,PETROL,1500,150000,9800000
HONDA,CIVIC,EX TECH PACK (SEDAN),2019,AUTOMATIC,SALOON,PETROL,1000,51000,17000000
HONDA,CRV,MASTERPICES  JAPAN ,2018,AUTOMATIC,SUV / 4X4,PETROL,1490,51000,24950000
HONDA,CRV,HONDA CRV VTIL-7,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,10000,27500000
HONDA,CIVIC,HONDA,2017,AUTOMATIC,0,PETROL,1000,100862,12300000
HONDA,CRV,AWD,2019,AUTOMATIC,SUV / 4X4,PETROL,1498,60500,26500000
HONDA,CRV,2019,2019,AUTOMATIC,SUV / 4X4,PETROL,1500,87000,21800000
HONDA,CRV,V TEC TURBO,2018,AUTOMATIC,STATION WAGON,PETROL,1500,60000,22290000
HONDA,FIT,0,2012,AUTOMATIC,HATCHBACK,PETROL,1300,183000,6100000
