,brand,model,Trim / Edition,year,Transmission,Body type,fuel_type,Engine capacity,Mileage,vehicle_price,COMBINED
82,HONDA,CRV,4WD,2012,AUTOMATIC,SUV / 4X4,PETROL,1990,180000,11450000,CRV 4WD
83,HONDA,N-WGN,2017,2017,AUTOMATIC,0,PETROL,650,89100,5900000,N-WGN 2017
84,HONDA,CRV,MASTERPIECE JAPAN ,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,50000,23950000,CRV MASTERPIECE JAPAN
85,HONDA,VEZEL,HONDA,2017,AUTOMATIC,SUV / 4X4,PETROL,1500,45000,14500000,VEZEL HONDA
86,HONDA,CIVIC,HONDA CIVIC ,2018,AUTOMATIC,SALOON,PETROL,2000,63437,14850000,CIVIC HONDA CIVIC
87,HONDA,GRACE,EX (HIGHEST GRADE),2017,AUTOMATIC,SALOON,PETROL,1500,59000,13000000,GRACE EX (HIGHEST GRADE)
88,HONDA,CRV,VTEC TURBO,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,48000,21500000,CRV VTEC TURBO
89,HONDA,CIVIC,HONDA CIVIC SR 2018,2018,AUTOMATIC,SALOON,PETROL,988,84500,13000000,CIVIC HONDA CIVIC SR 2018
90,HONDA,CIVIC,SR,2017,AUTOMATIC,SALOON,PETROL,1000,54000,12495000,CIVIC SR
91,HONDA,CRV,AWD,2019,AUTOMATIC,SUV / 4X4,PETROL,1500,65000,23500000,CRV AWD
92,HONDA,CIVIC,SEDAN EX TECHPACK,2019,AUTOMATIC,SALOON,PETROL,1000,113000,14250000,CIVIC SEDAN EX TECHPACK
93,HONDA,GRACE,EX,2015,AUTOMATIC,SALOON,PETROL,1500,156000,10350000,GRACE EX
94,HONDA,CRV,CRV,2019,AUTOMATIC,0,PETROL,2000,98000,19500000,CRV CRV
95,HONDA,FIT,GP 5 (S GRADE),2013,AUTOMATIC,STATION WAGON,PETROL,1500,150535,8356000,FIT GP 5 (S GRADE)
96,HONDA,FIT,GP 1,2012,AUTOMATIC,HATCHBACK,PETROL,1330,169000,7200000,FIT GP 1
97,HONDA,OTHER MODEL,ZRV Z,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,150,20950000,OTHER MODEL ZRV Z
98,HONDA,CIVIC,FD4,2010,AUTOMATIC,SALOON,PETROL,1600,178000,7290000,CIVIC FD4
99,HONDA,VEZEL,G GRADE,2015,AUTOMATIC,HATCHBACK,PETROL,1500,145700,12000000,VEZEL G GRADE
100,HONDA,VEZEL,HYBRID,2014,AUTOMATIC,SUV / 4X4,PETROL,1490,115000,10500000,VEZEL HYBRID
101,HONDA,CRV,V TEC 7 SEATER SUV,2018,AUTOMATIC,0,PETROL,1500,169000,21500000,CRV V TEC 7 SEATER SUV
102,HONDA,FIT,GP 5 SAFETY,2014,AUTOMATIC,HATCHBACK,PETROL,1500,119000,7950000,FIT GP 5 SAFETY
103,HONDA,CRV,MASTERPIECE 2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,20000,24800000,CRV MASTERPIECE 2018
104,HONDA,CRV,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1499,72000,23500000,CRV 2018
105,HONDA,FIT,GP5 S,2014,AUTOMATIC,HATCHBACK,PETROL,1500,128000,8649999,FIT GP5 S
106,HONDA,VEZEL,E HEV X,2025,AUTOMATIC,SUV / 4X4,PETROL,1500,100,15650000,VEZEL E HEV X
107,HONDA,VEZEL,Z - ORANGE PACKAGE,2014,AUTOMATIC,HATCHBACK,PETROL,1500,155000,9450000,VEZEL Z - ORANGE PACKAGE
108,HONDA,FIT,HONDA FIT GP5 L,2014,AUTOMATIC,HATCHBACK,PETROL,1500,224000,8050000,FIT HONDA FIT GP5 L
109,HONDA,CRV,HIGHEST GRADE,2013,AUTOMATIC,SUV / 4X4,PETROL,2350,97000,13090000,CRV HIGHEST GRADE
110,HONDA,VEZEL,X HUNT PACKAGE,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,3000,16300000,VEZEL X HUNT PACKAGE
111,HONDA,FIT,HONDA,2014,AUTOMATIC,HATCHBACK,PETROL,1490,100500,8300000,FIT HONDA
112,HONDA,N-WGN,2017,2017,AUTOMATIC,HATCHBACK,PETROL,650,73612,6600000,N-WGN 2017
113,HONDA,CRV,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,111000,21200000,CRV 2018
114,HONDA,VEZEL,RS SENSING,2017,AUTOMATIC,SUV / 4X4,PETROL,1500,42000,13500000,VEZEL RS SENSING
115,HONDA,CRV,CRV,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,103000,21500000,CRV CRV
116,HONDA,CRV,HONDA,2019,AUTOMATIC,SUV / 4X4,PETROL,1498,75000,22000000,CRV HONDA
117,HONDA,VEZEL,2014,2014,AUTOMATIC,SUV / 4X4,PETROL,1500,173939,9550000,VEZEL 2014
118,HONDA,GRACE,0,2016,AUTOMATIC,0,PETROL,1500,176430,12800000,GRACE 0
119,HONDA,CRV,0,2010,AUTOMATIC,0,PETROL,2350,140000,14900000,CRV 0
120,HONDA,FIT,GP1 2012,2012,AUTOMATIC,HATCHBACK,PETROL,1300,125000,6850000,FIT GP1 2012
121,HONDA,FIT,HONDA,2013,AUTOMATIC,HATCHBACK,PETROL,1500,126000,8300000,FIT HONDA
122,HONDA,CIVIC,SEDAN TECHPACK,2018,AUTOMATIC,SALOON,PETROL,1000,94000,15500000,CIVIC SEDAN TECHPACK
123,HONDA,VEZEL,NON-HYBRID CVT,2019,AUTOMATIC,SUV / 4X4,PETROL,1500,53000,15900000,VEZEL NON-HYBRID CVT
124,HONDA,CRV,MASTERPIECE,2019,AUTOMATIC,SUV / 4X4,PETROL,1500,50000,25675000,CRV MASTERPIECE
125,HONDA,VEZEL,0,2014,AUTOMATIC,HATCHBACK,PETROL,1800,224476,9600000,VEZEL 0
126,HONDA,CIVIC,TECH PACK,2018,AUTOMATIC,HATCHBACK,PETROL,1000,50400,15000000,CIVIC TECH PACK
127,HONDA,CRV,0,1997,AUTOMATIC,SUV / 4X4,PETROL,2000,220000,4200000,CRV 0
128,HONDA,FIT,HONDA,2008,AUTOMATIC,HATCHBACK,PETROL,1330,170000,5985000,FIT HONDA
129,HONDA,FIT,GP5 S GRADE 2015,2015,AUTOMATIC,HATCHBACK,PETROL,1500,57700,9750000,FIT GP5 S GRADE 2015
130,HONDA,VEZEL,VEZEL 2014,2014,AUTOMATIC,SUV / 4X4,PETROL,1500,133000,11000000,VEZEL VEZEL 2014
131,HONDA,CRV,HONDA CR-V 2.0L,2015,AUTOMATIC,STATION WAGON,PETROL,1997,128500,18000000,CRV HONDA CR-V 2.0L
132,HONDA,FIT SHUTTLE,HONDA,2013,AUTOMATIC,STATION WAGON,PETROL,1300,15600,8250000,FIT SHUTTLE HONDA
133,HONDA,CRV,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,58000,23500000,CRV 2018
134,HONDA,FIT,HONDA GP5 S GRADE,2014,AUTOMATIC,HATCHBACK,PETROL,1500,98500,8850000,FIT HONDA GP5 S GRADE
135,HONDA,CRV,HONDA,2019,AUTOMATIC,SUV / 4X4,PETROL,1500,48200,21700000,CRV HONDA
136,HONDA,CRV,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,91000,22750000,CRV 2018
137,HONDA,VEZEL,Z PLAY MOONROOF ,2025,AUTOMATIC,SUV / 4X4,PETROL,1500,0,23950000,VEZEL Z PLAY MOONROOF
138,HONDA,VEZEL,2017,2017,AUTOMATIC,STATION WAGON,PETROL,1490,125000,14200000,VEZEL 2017
139,HONDA,CRV,VTI-TURBO,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,116500,22000000,CRV VTI-TURBO
140,HONDA,CRV,VTI -L,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,132500,20750000,CRV VTI -L
141,HONDA,CRV,MASTERPICE,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,91000,25000000,CRV MASTERPICE
142,HONDA,CRV,MASTERPIECE JAPAN ,2018,AUTOMATIC,STATION WAGON,PETROL,1500,69000,27900000,CRV MASTERPIECE JAPAN
143,HONDA,CRV,MASTERPIECE ,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,29000,25750000,CRV MASTERPIECE
144,HONDA,CIVIC,2016,2016,AUTOMATIC,SALOON,PETROL,1600,187000,13000000,CIVIC 2016
145,HONDA,FIT ARIA,0,2008,AUTOMATIC,SALOON,PETROL,1500,170000,6000000,FIT ARIA 0
146,HONDA,N-WGN,0,2016,AUTOMATIC,HATCHBACK,PETROL,650,100150,6275000,N-WGN 0
147,HONDA,CRV,VVTI  AWD,2019,AUTOMATIC,SUV / 4X4,PETROL,1500,86000,21000000,CRV VVTI  AWD
148,HONDA,FREED,HONDA FREED,2012,AUTOMATIC,MPV,PETROL,1500,240000,8500000,FREED HONDA FREED
149,HONDA,FIT,GP1 2013,2013,AUTOMATIC,STATION WAGON,PETROL,1330,107000,7150000,FIT GP1 2013
150,HONDA,CRV,HONDA,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,70000,23000000,CRV HONDA
151,HONDA,CIVIC,FD1,2007,AUTOMATIC,HATCHBACK,PETROL,1800,95000,7550000,CIVIC FD1
152,HONDA,CRV,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,25000,27900000,CRV 2018
153,HONDA,CIVIC,0,2017,AUTOMATIC,SALOON,PETROL,1000,29000,13700000,CIVIC 0
154,HONDA,VEZEL,Z-GRADE ORANGE PKG,2014,AUTOMATIC,0,PETROL,1500,160000,10200000,VEZEL Z-GRADE ORANGE PKG
155,HONDA,CRV,2008,2008,AUTOMATIC,SUV / 4X4,PETROL,2000,240000,9300000,CRV 2008
156,HONDA,CRV,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,87000,21000000,CRV 2018
157,HONDA,CRV,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,124000,23000000,CRV 2018
158,HONDA,CRV,HONDA,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,100000,22500000,CRV HONDA
159,HONDA,CRV,2018 MASTERPIECE,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,96000,22000000,CRV 2018 MASTERPIECE
160,HONDA,FIT,GP1,2012,AUTOMATIC,HATCHBACK,PETROL,1500,135000,7200000,FIT GP1
161,HONDA,CRV,HONDA,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,112000,19500000,CRV HONDA
162,HONDA,CRV,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,104000,21500000,CRV 2018
163,HONDA,CIVIC,CIVIC EX (TECH PACK),2017,AUTOMATIC,HATCHBACK,PETROL,1000,125000,14000000,CIVIC CIVIC EX (TECH PACK)
164,HONDA,N-WGN,0,2015,AUTOMATIC,HATCHBACK,PETROL,650,77000,6650000,N-WGN 0
165,HONDA,VEZEL,2014,2014,AUTOMATIC,HATCHBACK,PETROL,1490,153700,9600000,VEZEL 2014
166,HONDA,CIVIC,EG8,1994,AUTOMATIC,SALOON,PETROL,1500,56000,4200000,CIVIC EG8
167,HONDA,VEZEL,2018,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,72000,16500000,VEZEL 2018
168,HONDA,ACCORD,2000,2000,AUTOMATIC,SALOON,PETROL,2000,215000,4111000,ACCORD 2000
169,HONDA,CRV,VTI-LX FULLY LOADED,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,60000,26500000,CRV VTI-LX FULLY LOADED
170,HONDA,ACCORD,2020,2020,AUTOMATIC,SALOON,PETROL,1800,28000,27950000,ACCORD 2020
171,HONDA,GRACE,HONDA GRACE,2014,AUTOMATIC,0,PETROL,1500,94700,10375000,GRACE HONDA GRACE
172,HONDA,CRV,RD1 1STOWNER JF-2004,1998,AUTOMATIC,SUV / 4X4,PETROL,1980,141000,4975000,CRV RD1 1STOWNER JF-2004
173,HONDA,ACCORD,EX-FULL SPEC,2019,AUTOMATIC,SALOON,PETROL,1500,15000,27900000,ACCORD EX-FULL SPEC
174,HONDA,VEZEL,HONDA VEZEL RS,2018,AUTOMATIC,HATCHBACK,PETROL,1490,70150,16100000,VEZEL HONDA VEZEL RS
175,HONDA,FIT,2013,2013,AUTOMATIC,HATCHBACK,PETROL,1300,147247,6350000,FIT 2013
176,HONDA,VEZEL,0,2014,AUTOMATIC,HATCHBACK,PETROL,1500,155151,9850000,VEZEL 0
177,HONDA,CRV,CRV AUSTRALIAN,2018,AUTOMATIC,SUV / 4X4,PETROL,1500,48000,23200000,CRV CRV AUSTRALIAN
178,HONDA,FIT,2014,2014,AUTOMATIC,HATCHBACK,PETROL,1300,130400,6850000,FIT 2014
179,HONDA,ACCORD,2013,2013,AUTOMATIC,SALOON,HYBRID,2000,177000,12975000,ACCORD 2013
180,HONDA,INSIGHT,ZE2,2010,AUTOMATIC,SALOON,HYBRID,1300,162000,6950000,INSIGHT ZE2
181,HONDA,VEZEL,2014,2014,AUTOMATIC,SUV / 4X4,HYBRID,1500,170000,9400000,VEZEL 2014
182,HONDA,VEZEL,Z PLAY - MOONROOF,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,8,20800000,VEZEL Z PLAY - MOONROOF
183,HONDA,FIT,GP5,2014,AUTOMATIC,HATCHBACK,HYBRID,1500,96000,8290000,FIT GP5
184,HONDA,VEZEL,Z PLAY WITH MOONROOF,2024,AUTOMATIC,HATCHBACK,HYBRID,1500,10,20800000,VEZEL Z PLAY WITH MOONROOF
185,HONDA,VEZEL,HYBRID 1500 CC Z,2014,AUTOMATIC,SUV / 4X4,HYBRID,1500,92000,10500000,VEZEL HYBRID 1500 CC Z
186,HONDA,VEZEL,RS SENSING ,2017,AUTOMATIC,SUV / 4X4,HYBRID,1500,89000,13450000,VEZEL RS SENSING
187,HONDA,FREED,Z ORANGE ,2013,AUTOMATIC,HATCHBACK,HYBRID,1500,155000,10500000,FREED Z ORANGE
188,HONDA,VEZEL,Z PACKAGE MUGAN KIT,2024,AUTOMATIC,HATCHBACK,HYBRID,1500,9017,19600000,VEZEL Z PACKAGE MUGAN KIT
189,HONDA,VEZEL,Z PLAY PACKAGE,2025,AUTOMATIC,STATION WAGON,HYBRID,1500,4,21000000,VEZEL Z PLAY PACKAGE
190,HONDA,VEZEL,Z PLAY PANORAMICROOF,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,5,20800000,VEZEL Z PLAY PANORAMICROOF
191,HONDA,VEZEL,2025,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,4,17500000,VEZEL 2025
192,HONDA,VEZEL,2023,2023,AUTOMATIC,SUV / 4X4,HYBRID,1500,15000,16800000,VEZEL 2023
193,HONDA,VEZEL,Z PLAY PANAROMICROOF,2025,AUTOMATIC,SUV / 4X4,HYBRID,1500,5,20600000,VEZEL Z PLAY PANAROMICROOF
194,HONDA,VEZEL,RS SENSING 2017,2017,AUTOMATIC,SUV / 4X4,HYBRID,1500,112500,13340000,VEZEL RS SENSING 2017
195,HONDA,FIT,GP5,2013,AUTOMATIC,HATCHBACK,HYBRID,1500,82000,8275000,FIT GP5
196,HONDA,FIT,GP5,2015,AUTOMATIC,STATION WAGON,HYBRID,1500,143000,8580000,FIT GP5
197,HONDA,VEZEL,Z GRADE,2023,AUTOMATIC,HATCHBACK,HYBRID,1500,13000,16600000,VEZEL Z GRADE
198,HONDA,VEZEL,Z GRADE,2023,AUTOMATIC,HATCHBACK,HYBRID,1500,15000,16800000,VEZEL Z GRADE
199,HONDA,VEZEL,Z PLAY - MOONROOF,2024,AUTOMATIC,SUV / 4X4,HYBRID,1500,9,20600000,VEZEL Z PLAY - MOONROOF
200,HONDA,FIT,GP5-L,2015,AUTOMATIC,HATCHBACK,HYBRID,1500,97000,8500000,FIT GP5-L
201,HONDA,CIVIC,FD3 HYBRID,2008,AUTOMATIC,SALOON,HYBRID,1300,170000,7200000,CIVIC FD3 HYBRID
202,HONDA,VEZEL,Z PLAY WITH MOONROOF,2024,AUTOMATIC,HATCHBACK,HYBRID,1500,9000,20600000,VEZEL Z PLAY WITH MOONROOF
203,HONDA,VEZEL,Z GRADE ORANGE,2014,AUTOMATIC,SUV / 4X4,HYBRID,1490,68000,10850000,VEZEL Z GRADE ORANGE
204,HONDA,VEZEL,Z GRADE ORANGE PACK,2014,AUTOMATIC,HATCHBACK,HYBRID,1490,112800,9700000,VEZEL Z GRADE ORANGE PACK
205,HONDA,VEZEL,Z PLAY WITH MOONROOF,2024,AUTOMATIC,HATCHBACK,HYBRID,1500,10,20800000,VEZEL Z PLAY WITH MOONROOF
206,HONDA,FIT,GP5,2015,AUTOMATIC,HATCHBACK,HYBRID,1500,158000,8300000,FIT GP5
