date_posted,brand,model,Trim / Edition,year,Transmission,Body type,fuel_type,Engine capacity,mileage_km,vehicle_price
2025-11-20,HONDA,FIT SHUTTLE,GP2,2013,AUTOMATIC,STATION WAGON,PETROL,1330,194000,9200000
2025-11-20,HONDA,VEZEL,0,2014,AUTOMATIC,0,PETROL,1500,123800,9500000
2025-11-20,HONDA,FIT,GP5 L,2014,AUTOMATIC,HATCHBACK,PETROL,1490,154000,7700000
2025-11-20,HONDA,NBOX,CUSTOM,2025,AUTOMATIC,HATCHBACK,PETROL,660,8,8900000
2025-11-20,HONDA,CITY,RS TURBO BRAND NEW,2025,AUTOMATIC,SALOON,PETROL,1000,0,13900000
2025-11-20,HONDA,CITY,RS TURBO BRAND NEW,2025,AUTOMATIC,SALOON,PETROL,1000,0,14390000
2025-11-20,HONDA,NWGN,CUSTOM,2024,AUTOMATIC,HATCHBACK,PETROL,660,0,8950000
2025-11-21,HONDA,NBOX,N BOX CUSTOM TURBO,2017,AUTOMATIC,SALOON,PETROL,660,85000,6750000
2025-11-20,HONDA,CITY,RS TURBO,2025,AUTOMATIC,SALOON,PETROL,1000,0,14390000
2025-11-20,HONDA,VEZEL,Z GRADE,2025,AUTOMATIC,HATCHBACK,PETROL,1500,0,21500000
2025-11-20,HONDA,CRV,VTIL-7 ,2025,AUTOMATIC,STATION WAGON,PETROL,1500,0,31290000
2025-11-20,HONDA,CITY,RS VTEC TURBO,2025,AUTOMATIC,SALOON,PETROL,1000,0,14690000
2025-11-20,HONDA,CITY,RS,2025,AUTOMATIC,0,PETROL,1000,0,14000000
2025-11-20,HONDA,CRV,VTI-X+ (PRE ORDER),2025,AUTOMATIC,SUV / 4X4,PETROL,1500,0,24800000
2025-11-20,HONDA,VEZEL,VEZEL Z PLAY PACKAGE,2025,AUTOMATIC,SUV / 4X4,PETROL,1500,0,20500000
2025-11-20,HONDA,CITY,RS TURBO 1.0L,2025,AUTOMATIC,SALOON,PETROL,1000,0,14550000
2025-11-21,HONDA,ZRV Z,GRADE Z,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,9000,21500000
2025-11-21,HONDA,CRV,0,2017,AUTOMATIC,SUV / 4X4,PETROL,1500,145000,15500000
2025-11-21,HONDA,CRV,VTI L,2025,AUTOMATIC,SUV / 4X4,PETROL,1500,5,29500000
2025-11-21,HONDA,VEZEL,Z GRADE,2014,AUTOMATIC,HATCHBACK,PETROL,1490,200000,9500000
2025-11-20,HONDA,VEZEL,Z GRADE APPLE PLAY,2024,AUTOMATIC,SALOON,PETROL,1500,1000,18700000
2025-11-19,HONDA,CRV,L7  7 SEAT,2025,AUTOMATIC,SUV / 4X4,PETROL,1500,0,29500000
2025-11-19,HONDA,FIT,GP1,2011,AUTOMATIC,HATCHBACK,PETROL,1330,153825,6390000
2025-11-19,HONDA,CRV,V-VTI X+,2025,AUTOMATIC,SUV / 4X4,PETROL,1500,500,26990000
2025-11-19,HONDA,CRV,V-VTI L7 V-TEC TURBO,2025,AUTOMATIC,SUV / 4X4,PETROL,1500,50,31990000
2025-11-20,HONDA,VEZEL,SENSING,2016,AUTOMATIC,SUV / 4X4,PETROL,1500,100000,11000000
2025-11-19,HONDA,CRV,V-VTI L7 ,2023,AUTOMATIC,SUV / 4X4,PETROL,1500,7000,29990000
2025-11-19,HONDA,NBOX,L SAFETY,2023,AUTOMATIC,HATCHBACK,PETROL,660,9000,8750000
2025-11-10,HONDA,CRV,2008,2008,AUTOMATIC,SUV / 4X4,PETROL,2000,200000,8500000
2025-11-19,HONDA,CRV,VTI-L7 Â 7 SEATER,2025,AUTOMATIC,SUV / 4X4,PETROL,1500,0,29800000
2025-11-19,HONDA,CRV,VTI-LÂ 5 SEATER,2025,AUTOMATIC,SUV / 4X4,PETROL,1500,0,28200000
2025-11-20,HONDA,CRV,MASTERPIECE,2019,AUTOMATIC,HATCHBACK,PETROL,1500,99500,18900000
2025-11-19,HONDA,FIT,GP1,2010,AUTOMATIC,HATCHBACK,PETROL,1330,196000,6100000
2025-11-19,HONDA,VEZEL,Z APPLE CARPLAY,2025,AUTOMATIC,SUV / 4X4,PETROL,1500,0,18750000
2025-11-19,HONDA,NWGN,0,2023,AUTOMATIC,HATCHBACK,PETROL,650,10000,7980000
2025-11-19,HONDA,CITY,RS TURBO,2025,AUTOMATIC,SALOON,PETROL,1000,0,14400000
2025-11-19,HONDA,GRACE,0,2014,AUTOMATIC,SALOON,PETROL,1500,118000,9500000
2025-11-19,HONDA,CITY,RS,2025,AUTOMATIC,SALOON,PETROL,1000,0,14400000
2025-11-19,HONDA,CITY,TURBO RS,2025,AUTOMATIC,SALOON,PETROL,1000,0,14400000
2025-11-19,HONDA,CITY,RS TURBO,2025,AUTOMATIC,SALOON,PETROL,1000,0,14500000
2025-11-19,HONDA,VEZEL,Z PLAY,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,9000,20700000
2025-11-19,HONDA,CITY,RS TURBO,2025,AUTOMATIC,SALOON,PETROL,1000,135,14000000
2025-11-21,HONDA,FIT,0,2012,AUTOMATIC,HATCHBACK,PETROL,1399,187300,6550000
2025-11-19,HONDA,CITY,RS WHITE,2025,AUTOMATIC,SALOON,PETROL,1000,0,14375000
2025-11-19,HONDA,CITY,RS,2025,AUTOMATIC,SALOON,PETROL,1000,0,14275000
2025-11-19,HONDA,CITY,RS TURBO,2025,AUTOMATIC,SALOON,PETROL,1500,0,14550000
2025-11-19,HONDA,CITY,RS TURBO,2025,AUTOMATIC,SALOON,PETROL,1500,0,14550000
2025-11-19,HONDA,CRV,0,1997,AUTOMATIC,HATCHBACK,PETROL,1970,204287,5495000
2025-11-19,HONDA,CITY,SV,2025,AUTOMATIC,SALOON,PETROL,988,77,13490000
2025-11-19,HONDA,STEP WAGON,SPADA,2023,AUTOMATIC,STATION WAGON,PETROL,1500,21000,26500000
2025-11-19,HONDA,FIT,GP1 SHE'S,2012,AUTOMATIC,HATCHBACK,PETROL,1330,113000,6690000
2025-11-19,HONDA,VEZEL,Z PLAY,2025,AUTOMATIC,HATCHBACK,PETROL,1496,20,245
2025-11-18,HONDA,GRACE,EX PACKAGE,2019,AUTOMATIC,0,PETROL,1500,105400,10975000
2025-11-18,HONDA,CITY,RS TURBO PACKAGE,2025,AUTOMATIC,HATCHBACK,PETROL,1000,0,14200000
2025-11-18,HONDA,CIVIC,SR,2018,AUTOMATIC,HATCHBACK,PETROL,1000,43600,12850000
2025-11-18,HONDA,CITY,RS TURBO,2025,AUTOMATIC,0,PETROL,1000,0,13350000
2025-11-18,HONDA,CITY,RS VTEC TURBO,2025,AUTOMATIC,SALOON,PETROL,1000,0,14750000
2025-11-18,HONDA,CRV,SUNROOF HIGHST SPEC,2006,AUTOMATIC,SUV / 4X4,PETROL,2000,154500,7850000
2025-11-18,HONDA,CRV,CRV AWD TOP GRADE,2024,AUTOMATIC,SUV / 4X4,PETROL,1500,0,33500000
