Post_Link,Posted_Title,Posted_Date,Brand,Model,Grade,Trim / Edition,Year of Manufacture,Condition,Transmission,Body type,Fuel type,Engine capacity,Mileage,Vehicle_Price
https://ikman.lk/en/ad/honda-crv-2017-for-sale-colombo-177,Honda CRV 2017,"Posted on 21 Nov 8:04 am, Kohuwala, Colombo1596views",Honda,CRV,0,0,2017,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc","145,000 km","Rs 15,500,000"
https://ikman.lk/en/ad/honda-crv-vti-l-2025-for-sale-colombo,Honda CRV VTI L 2025,"Posted on 21 Nov 7:47 am, Colombo 3, Colombo414views",Honda,CRV,0,VTI L,2025,Brand New,Automatic,SUV / 4x4,Petrol,"1,500 cc",5 km,"Rs 29,500,000"
https://ikman.lk/en/ad/honda-vezel-z-grade-2014-for-sale-colombo-2274,Honda Vezel Z Grade 2014,"Posted on 21 Nov 2:50 am, Colombo 6, Colombo1089views",Honda,Vezel,0,Z Grade,2014,Used,Automatic,Hatchback,Petrol,"1,490 cc","200,000 km","Rs 9,500,000"
https://ikman.lk/en/ad/honda-vezel-z-grade-apple-play-2024-for-sale-colombo,Honda Vezel Z Grade Apple Play 2024,"Posted on 20 Nov 10:21 am, Dehiwala, Colombo167views",Honda,Vezel,0,Z Grade Apple Play,2024,Brand New,Automatic,Saloon,Petrol,"1,500 cc","1,000 km","Rs 18,700,000"
https://ikman.lk/en/ad/honda-crv-l7-7-seat-2025-for-sale-colombo,Honda CRV L7 7 Seat 2025,"Posted on 19 Nov 11:15 pm, Kohuwala, Colombo283views",Honda,CRV,0,L7  7 Seat,2025,Import,Automatic,SUV / 4x4,Petrol,"1,500 cc",0 km,"Rs 29,500,000"
https://ikman.lk/en/ad/honda-vezel-z-grade-2025-for-sale-colombo-453,,,0,0,0,0,0,0,0,0,0,0,0,
https://ikman.lk/en/ad/honda-fit-gp1-2011-for-sale-colombo-831,Honda Fit GP1 2011,"Posted on 19 Nov 6:35 pm, Athurugiriya, Colombo152views",Honda,Fit,0,GP1,2011,Used,Automatic,Hatchback,Petrol,"1,330 cc","153,825 km","Rs 6,390,000"
https://ikman.lk/en/ad/honda-crv-v-vti-x-2025-for-sale-colombo,Honda CRV V-VTI X+ 2025,"Posted on 19 Nov 5:33 pm, Kohuwala, Colombo187views",Honda,CRV,0,V-VTI X+,2025,Brand New,Automatic,SUV / 4x4,Petrol,"1,500 cc",500 km,"Rs 26,990,000"
https://ikman.lk/en/ad/honda-crv-v-vti-l7-v-tec-turbo-2025-for-sale-colombo,Honda CRV V-VTI L7 V-TEC TURBO 2025,"Posted on 19 Nov 5:25 pm, Kohuwala, Colombo144views",Honda,CRV,0,V-VTI L7 V-TEC TURBO,2025,Brand New,Automatic,SUV / 4x4,Petrol,"1,500 cc",50 km,"Rs 31,990,000"
https://ikman.lk/en/ad/honda-vezel-sensing-2016-for-sale-colombo-52,Honda Vezel Sensing 2016,"Posted on 20 Nov 5:20 pm, Rajagiriya, Colombo1860views",Honda,Vezel,0,Sensing,2016,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc","100,000 km","Rs 11,000,000"
